tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,119,4
6,26,26,32,119,4
17,0,380,0,4,4
6,48,151,24,74,4
17,30,60,32,32,4
6,50,871,29,22,4
17,37,73,32,32,4
6,30,1190,28,131,4
6,66,295,37,100,4
6,35,35,32,60,4
6,37,37,32,60,4
17,32,62,32,32,4
6,92,291,34,23,4
17,37,74,32,32,4
17,33,65,32,32,4
6,78,424,34,109,4
6,80,459,32,119,4
6,60,0,64,0,4
6,188,64,37,96,4
6,26,29,28,128,4
6,26,27,29,129,4
6,68,663,30,22,4
6,46,13,48,59,4
6,37,20,38,95,4
6,153,377,32,26,4
6,84,100,30,122,4
6,26,26,32,24,4
6,26,26,32,28,4
6,55,26,32,59,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,34,26,36,102,4
6,52,534,28,131,4
6,43,610,31,118,4
6,37,662,29,125,4
6,87,227,29,125,4
6,108,72,30,122,4
6,109,53,30,122,4
6,33,20,42,78,4
6,46,742,35,105,4
6,33,20,42,78,4
6,87,107,32,117,4
6,148,41,34,106,4
6,62,31,35,104,4
6,26,26,32,119,4
6,26,26,32,27,4
6,23,31,25,142,4
6,26,27,29,124,4
6,26,26,32,119,4
6,29,29,32,28,4
6,26,26,32,119,4
6,26,26,32,119,4
6,26,26,32,56,4
6,26,26,32,55,4
6,26,26,32,27,4
6,50,32,42,77,4
17,0,380,0,4,4
6,31,17,36,24,4
17,0,78,0,64,4
6,50,32,42,77,4
6,33,51,28,67,4
17,35,62,32,32,4
17,28,92,32,32,4
6,32,1126,25,34,4
6,34,1049,26,32,4
6,60,562,33,26,4
17,30,85,32,32,4
6,34,952,24,33,4
6,24,971,32,27,4
6,35,1037,27,31,4
17,34,66,32,32,4
6,48,832,27,32,4
17,31,77,32,32,4
17,33,88,32,32,4
6,56,359,30,28,4
6,60,287,32,28,4
6,163,216,42,18,4
6,57,334,35,24,4
6,37,1023,26,32,4
6,26,26,32,27,4
6,26,26,32,117,4
6,123,73,35,50,4
17,35,85,32,32,4
6,28,787,24,34,4
6,27,1226,22,36,4
6,26,26,32,119,4
6,34,17,42,16,4
17,30,94,32,32,4
6,80,586,34,25,4
6,60,288,36,23,4
6,32,23,35,105,4
6,26,26,32,119,4
17,0,380,0,4,4
6,50,32,42,40,4
6,26,26,32,55,4
6,26,26,32,116,4
6,26,26,32,117,4
17,0,78,0,64,4
6,26,26,32,27,4
6,26,26,32,28,4
6,26,26,32,27,4
6,31,20,38,22,4
6,26,26,32,26,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,30,27,31,4
6,26,26,32,27,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,119,4
6,35,35,32,60,4
17,32,98,32,32,4
6,67,336,37,22,4
6,47,30,42,40,4
6,45,653,35,24,4
6,26,26,32,27,4
6,54,577,34,26,4
6,56,547,33,26,4
6,41,625,34,24,4
6,197,92,42,37,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,19,1239,20,39,4
6,26,26,32,27,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,119,4
6,31,20,38,22,4
6,26,26,32,117,4
6,26,26,32,119,4
6,47,30,42,40,4
6,55,26,32,59,4
6,26,26,32,119,4
6,26,26,32,55,4
17,30,96,32,32,4
6,66,1362,22,34,4
6,64,310,37,23,4
6,26,26,32,116,4
17,30,85,32,32,4
6,113,570,32,27,4
17,30,85,32,32,4
6,114,325,36,23,4
17,30,85,32,32,4
6,107,309,33,25,4
6,97,40,35,24,4
6,50,32,42,17,4
6,26,26,32,28,4
6,46,847,28,30,4
6,26,26,32,27,4
6,80,262,36,24,4
6,221,54,38,20,4
6,39,26,42,18,4
6,34,17,42,40,4
6,34,17,42,40,4
6,34,17,42,40,4
6,34,17,42,40,4
6,34,17,42,40,4
6,37,496,32,27,4
6,26,26,32,27,4
6,196,92,42,37,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,119,4
6,28,26,35,24,4
6,26,26,32,117,4
6,26,26,32,119,4
6,50,32,42,77,4
6,50,32,42,79,4
6,75,382,38,22,4
6,26,26,32,119,4
6,113,84,42,18,4
6,148,31,32,27,4
6,107,90,35,24,4
6,134,25,36,23,4
6,31,60,23,77,4
6,26,26,32,116,4
17,30,61,32,32,4
6,28,916,24,74,4
6,26,26,32,117,4
17,30,41,32,32,4
6,46,543,29,65,4
17,29,58,32,32,4
6,104,149,40,41,4
17,30,41,32,32,4
6,32,787,24,75,4
17,30,72,32,32,4
6,42,577,33,56,4
6,41,800,26,32,4
6,26,26,32,117,4
17,33,63,32,32,4
17,37,73,32,32,4
17,33,88,32,32,4
6,68,211,37,50,4
17,31,126,32,32,4
17,32,71,32,32,4
6,51,388,29,30,4
6,25,1459,18,40,4
6,40,940,29,129,4
6,31,1110,24,147,4
6,165,255,42,40,4
6,62,311,36,23,4
17,32,82,32,32,4
6,99,40,35,105,4
6,86,135,36,23,4
17,31,60,32,32,4
6,63,180,37,44,4
6,66,196,34,48,4
6,67,194,37,43,4
6,63,180,37,44,4
6,37,632,32,59,4
6,34,22,36,102,4
6,31,20,38,95,4
17,34,83,32,32,4
6,80,359,33,27,4
6,46,13,48,59,4
17,33,58,32,32,4
6,52,760,33,24,4
17,36,101,32,32,4
6,87,153,36,23,4
6,26,26,32,116,4
17,36,71,32,32,4
17,30,119,32,32,4
17,32,78,32,32,4
6,170,15,48,13,4
6,164,13,48,13,4
6,136,22,38,22,4
6,170,15,48,14,4
6,37,20,42,18,4
17,75,0,64,0,4
17,30,52,32,32,4
6,37,20,42,18,4
6,37,20,42,19,4
6,37,20,42,18,4
6,37,20,42,18,4
6,60,0,64,0,4
6,98,242,36,24,4
17,0,78,0,64,4
17,28,80,32,32,4
6,29,1123,26,33,4
6,26,26,32,28,4
6,38,22,36,51,4
6,26,26,32,27,4
6,47,30,42,40,4
6,51,893,19,38,4
6,40,22,36,51,4
6,148,75,40,42,4
6,130,219,33,26,4
6,26,26,32,27,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,117,4
6,275,54,38,20,4
6,26,26,32,117,4
6,38,22,36,51,4
6,55,26,32,59,4
6,74,213,38,17,4
17,0,380,0,4,4
17,36,113,32,32,4
6,164,210,37,98,4
6,33,60,25,72,4
6,31,17,36,24,4
6,50,32,42,17,4
17,29,49,32,32,4
6,24,1092,26,26,4
6,55,827,30,23,4
6,17,1415,17,33,4
6,26,1395,21,30,4
6,26,1007,30,24,4
6,22,1343,20,31,4
6,60,1226,23,28,4
17,0,78,0,64,4
6,259,71,38,93,4
6,26,26,32,27,4
17,27,51,32,32,4
6,67,344,32,28,4
6,50,32,42,79,4
17,28,83,32,32,4
17,28,83,32,32,4
6,56,190,38,22,4
6,57,198,37,23,4
6,57,198,37,23,4
6,57,198,37,23,4
6,57,198,37,23,4
6,29,902,31,28,4
6,57,198,37,23,4
6,30,15,42,18,4
6,26,26,32,27,4
6,26,26,32,56,4
6,17,34,21,30,4
6,17,34,21,30,4
6,17,34,21,30,4
6,17,34,21,30,4
6,26,26,32,28,4
6,40,22,36,99,4
17,0,129,0,1,4
6,55,26,32,59,4
17,32,56,32,32,4
6,40,461,33,26,4
17,0,97,0,255,4
17,32,59,32,32,4
6,73,106,35,24,4
6,51,129,35,53,4
17,0,380,0,4,4
17,0,78,0,64,4
6,42,19,40,45,4
6,31,20,38,22,4
6,26,26,32,56,4
6,34,17,42,18,4
6,31,23,40,21,4
6,26,26,32,27,4
6,342,102,42,77,4
6,47,30,42,18,4
6,39,26,42,18,4
6,39,26,42,18,4
6,39,26,42,18,4
6,37,49,25,72,4
17,30,89,32,32,4
6,43,646,29,133,4
17,38,85,32,32,4
6,33,1033,24,151,4
17,32,52,32,32,4
6,60,232,34,113,4
6,60,232,34,113,4
6,63,318,35,108,4
6,63,321,35,108,4
6,62,324,32,122,4
17,31,119,32,32,4
6,65,357,33,112,4
6,71,401,34,111,4
17,36,68,32,32,4
6,76,402,36,99,4
6,76,508,34,105,4
6,113,268,32,115,4
6,136,22,38,95,4
6,112,22,38,95,4
6,112,22,38,95,4
6,37,1258,23,154,4
6,29,29,32,27,4
17,32,49,32,32,4
6,84,358,34,101,4
6,568,38,38,93,4
6,35,795,29,132,4
17,33,49,32,32,4
17,36,44,32,32,4
6,64,199,32,107,4
6,68,183,36,48,4
6,166,340,42,79,4
17,0,78,0,64,4
6,34,17,42,79,4
6,34,17,42,79,4
6,50,32,42,17,4
6,110,0,64,0,4
6,14,1727,10,203,4
6,64,983,16,183,4
6,195,80,28,130,4
6,50,32,42,18,4
6,26,26,32,119,4
6,26,26,32,56,4
6,50,32,42,19,4
6,26,26,32,27,4
6,50,32,42,18,4
6,160,521,22,160,4
6,31,60,22,78,4
6,42,19,40,19,4
6,50,32,42,14,4
6,23,1319,19,169,4
6,380,41,40,87,4
17,30,61,32,32,4
6,33,1109,25,23,4
6,26,26,32,116,4
6,26,26,32,119,4
6,56,576,33,18,4
17,33,70,32,32,4
6,63,391,32,22,4
6,66,207,34,17,4
6,67,205,37,15,4
6,63,190,37,19,4
6,63,190,37,16,4
6,63,190,37,19,4
6,20,20,32,111,4
17,34,83,32,32,4
6,50,680,30,29,4
6,26,26,32,119,4
6,26,26,32,107,4
17,33,63,32,32,4
6,55,262,38,22,4
6,75,237,32,60,4
17,37,73,32,32,4
17,31,129,32,32,4
17,32,56,32,32,4
6,21,1236,21,37,4
6,67,378,30,28,4
6,40,890,28,130,4
6,36,973,29,127,4
17,0,78,0,64,4
6,77,33,36,102,4
17,31,62,32,32,4
6,33,20,42,35,4
6,33,20,42,35,4
6,69,203,36,45,4
6,46,629,28,65,4
6,33,20,42,35,4
6,39,26,42,18,4
17,34,83,32,32,4
6,77,303,35,25,4
17,33,37,32,32,4
6,104,341,34,22,4
6,26,26,32,116,4
6,26,26,32,119,4
6,26,26,32,56,4
6,26,26,32,27,4
6,55,26,32,59,4
17,0,380,0,4,4
6,29,29,32,28,4
6,35,35,32,60,4
6,60,0,64,0,4
6,71,91,34,26,4
6,71,196,29,27,4
6,20,20,32,111,4
6,26,26,32,119,4
17,0,78,0,64,4
6,39,26,42,18,4
6,32,15,40,21,4
6,17,34,21,36,4
6,241,78,39,89,4
17,35,62,32,32,4
6,30,27,34,25,4
6,32,15,40,21,4
17,32,102,32,32,4
6,124,660,32,116,4
17,37,69,32,32,4
17,32,40,32,32,4
17,35,89,32,32,4
6,81,593,32,119,4
6,90,465,35,106,4
17,41,91,32,32,4
6,33,20,42,79,4
6,80,136,34,100,4
6,178,326,32,115,4
6,26,26,32,119,4
6,26,26,32,28,4
6,26,26,32,28,4
6,147,55,36,104,4
17,29,84,32,32,4
6,98,256,35,107,4
6,34,20,38,45,4
6,33,20,42,79,4
6,39,26,42,18,4
17,0,380,0,4,4
6,40,50,32,59,4
6,50,32,42,17,4
6,50,32,42,18,4
6,50,32,42,19,4
6,50,32,42,18,4
6,74,172,36,94,4
6,33,20,42,79,4
6,33,20,42,79,4
6,33,20,42,79,4
17,43,108,32,32,4
6,71,305,33,114,4
6,50,32,42,14,4
6,33,20,42,79,4
6,35,35,32,60,4
6,37,37,32,122,4
6,50,32,42,81,4
6,50,32,42,79,4
6,31,1068,27,134,4
6,43,844,27,136,4
6,44,297,35,105,4
6,22,488,30,126,4
6,108,349,38,95,4
6,155,63,32,115,4
6,28,835,25,142,4
6,52,81,29,66,4
6,188,64,37,97,4
6,26,26,32,28,4
6,26,26,32,28,4
6,26,26,32,119,4
6,26,26,32,119,4
6,39,26,42,18,4
6,35,35,32,60,4
6,37,37,32,23,4
6,37,37,32,19,4
6,31,31,32,27,4
6,39,26,42,18,4
6,27,21,36,98,4
6,26,26,32,28,4
6,23,31,25,30,4
6,37,37,32,60,4
6,20,20,32,111,4
6,25,494,32,28,4
6,20,1150,18,40,4
17,0,78,0,64,4
6,60,214,37,22,4
17,28,68,32,32,4
17,28,68,32,32,4
6,31,931,28,31,4
6,26,26,32,119,4
17,0,380,0,4,4
17,31,54,32,32,4
6,57,197,37,23,4
6,52,127,34,55,4
6,40,51,32,59,4
6,39,26,42,18,4
6,50,32,42,19,4
6,37,37,32,119,4
6,39,273,25,33,4
6,29,24,36,24,4
6,29,24,36,24,4
6,32,57,25,73,4
6,50,32,42,81,4
6,50,32,42,81,4
